DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
F43A,,,,29792,33269,35142.2773,33896.641,35037.79702,,,,,,,6,29792,0.09,1,0.12,1,,,,,,,,,,17592,,20080.65,,
F43B,,,,18564,18343,18153.3949,16020.90841,16045.42509,,,,,,,4,18564,0.08,1,0.11,1,,,,,,,,,,14462,,14361.58,,
F43Z,22726,23562,23853,24178,25806,26057.8,26735.4,27413,5,22726,5,23562,5,23853,,,,,,,0.81,1,0.1,1,0.1,1,15391,14332,16743,,18733.84,,18945.9,18619.32
F60A,11978,10966,8270,7969,8355,8628.664171,7699.98403,7757.687312,2,11978,2,10966,2,8270,2,7969,0.1,1,0.12,1,0.81,1,0.11,1,0.12,1,8629,8462,6183,6356,8857.27,3995.39,4015.99,3994.92
F60B,4962,4648,3473,3482,3625,3827.862081,3491.017497,3241.605628,1,4962,1,4648,1,3473,1,3482,0.2,1,0.21,1,0.83,1,0.19,1,0.24,1,4277,4602,1962,1771,2810.44,1917.34,2704.25,2909.55
F61A,31621,30337,30378,30532,30525,38139.92457,30677.87556,32041.05306,7,31621,6,30337,6,30378,6,30532,0.07,1,0.1,1,0.82,1,0.11,1,0.12,1,17882,15402,17335,17600,19502.95,15978.39,16861.12,15624.27
F61B,12500,11242,12483,10719,11601,20408.07677,9191.875084,11020.91606,3,12500,2,11242,3,12483,2,10719,0.15,1,0.15,1,0.81,1,0.13,1,0.15,1,8528,9988,6551,7106,10659.68,10751.86,9630.57,7759.29
F61C,,,,,,7725.743758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F62A,12099,11474,12449,12049,12423,12214.83471,12731.61037,12922.23941,3,12099,2,11474,3,12449,2,12049,0.08,1,0.1,1,0.82,1,0.09,1,0.1,1,9574,10022,10715,10066,10796.96,10248.57,11688.15,11989.64
F62B,5925,5714,6157,5690,5548,5393.236534,5282.553365,5385.721673,1,5925,1,5714,1,6157,1,5690,0.1,1,0.11,1,0.79,1.48,0.1,1,0.11,1.3,5215,5443,5792,5948,5603.19,5795.83,6203.29,6257.39
F62C,,,3049,2887,3037,3234.446615,2481.203855,2607.429127,,,,,1,3049,1,2887,0.15,1,0.16,1,,,0.15,1,0.15,1,,,3381,3161,,3103.63,3904.7,4117.47
F63A,9397,8601,8314,7716,7651,7707.211721,6106.474826,5664.467607,2,9397,2,8601,2,8314,2,7716,0.13,1,0.13,1,0.78,1,0.11,1,0.14,1,6288,5958,6487,5339,6870.31,5285.76,8017.37,7606.99
F63B,4203,4119,3844,3148,2808,2803.802473,1894.060352,1816.765592,1,4203,1,4119,1,3844,1,3148,0.14,1,0.17,1,0.77,1,0.13,1,0.16,1,3083,3263,3137,3080,3187.83,2656.49,2989.66,3261.46
F64A,13370,11309,12941,13382,14956,16347.23107,13317.39186,13985.22362,3,13370,2,11309,3,12941,3,13382,0.07,1,0.1,1,0.82,1,0.07,1,0.09,1,11071,11872,9372,12527,12278.63,13304.69,11511.06,12306.54
F64B,4896,4812,4474,5311,6212,7493.587995,6499.367607,6760.591735,1,4896,1,4812,1,4474,1,5311,0.06,1,0.11,1,0.75,1,0.11,1,0.09,1,4169,3602,4019,7614,4899.37,6972.62,4991.74,6327.85
F64C,,,,2612,2731,3009.242624,3476.565666,2981.959417,,,,,,,1,2612,0.11,1,0.16,1,,,,,,,,,,2501,,2772.24,,
F65A,9448,10128,9721,9011,9311,9688.546572,9819.935017,9594.02371,2,9448,2,10128,2,9721,2,9011,0.11,1,0.11,1,0.73,1,0.12,1,0.1,1,6784,6931,6906,5747,7560.86,6646.15,9489.89,9694.12
F65B,3421,3267,3452,2952,3170,3418.514271,3221.041081,3400.136027,1,3421,1,3267,1,3452,1,2952,0.16,1.23,0.22,1.31,0.66,0.83,0.16,0.93,0.16,1,1556,1583,1698,1706,2027.64,1889.64,2308.38,2183.43
F66A,6458,6131,5817,6215,7159,7089.599246,6578.26522,6738.861133,1,6458,1,6131,1,5817,1,6215,0.12,1,0.12,1,0.81,1,0.14,1,0.15,1,5144,5329,5043,5040,4274.4,5046.2,4419.09,4474.08
F66B,2552,2469,2486,2389,2362,2395.168177,1815.880567,1903.572373,1,2552,1,2469,1,2486,0,2389,0.17,1,0.21,1,0.75,1,0.19,1,0.22,1,2161,2167,2038,1994,866.64,865.87,1055.4,1104.28
F67A,7157,6671,6955,6437,7006,6810.648654,6528.64973,6320.833859,1,7157,1,6671,1,6955,1,6437,0.12,1,0.14,1.52,0.78,1,0.11,1,0.12,1,4532,4735,5085,4747,5846.81,5231.29,5996.04,6223.3
F67B,3027,3071,2640,2297,2111,2123.884265,1577.090263,1551.439169,1,3027,1,3071,1,2640,0,2297,0.15,0.8,0.16,1,0.77,1.42,0.14,1.66,0.16,1.57,2646,2814,2812,2591,2921.54,2781.79,3224.49,3151.06
F68A,8000,8625,4238,5921,6314,4796.8,4189.2,3581.6,2,8000,2,8625,,,1,5921,0.1,1.32,0.14,1.33,0.72,1.13,,,,,1403,1456,550,1780,1821.4,1455.88,,
F68B,2246,2617,4238,2321,2465,2820,2834.2,2848.4,0,2246,1,2617,,,0,2321,0.18,1.34,0.17,1.55,0.71,0.92,,,,,823,897,550,1168,1113.92,1056.5,,
F68Z,,,4238,4121,4389.5,5322.490898,4309.17213,4290.068821,,,,,1,4238,,,,,,,,,0.18,1.23,0.12,1.6,,,1100,,,,1199.81,1321.22
F69A,8450,8202,8474,8283,9408,8361.534332,6152.101693,6480.159459,2,8450,2,8202,2,8474,2,8283,0.11,1,0.11,1,0.81,1,0.11,1,0.14,1,6185,6214,5752,6103,6403.42,5980.95,5569.66,6368.73
F69B,2353,2249,2229,2033,1997,1902.51834,1149.101288,1165.131092,0,2353,0,2249,0,2229,0,2033,0.18,1.62,0.19,1.72,0.75,1.85,0.19,1.78,0.19,2,1664,1693,1655,1788,1680.19,1548.44,1857.47,1754.75
F72A,6325,6144,6081,5936,6077,6285.2998,5563.319228,5678.080083,1,6325,1,6144,1,6081,1,5936,0.16,1,0.15,1,0.8,1,0.12,1,0.12,1,5885,5679,5479,4991,5874.8,5083.48,5434.41,5472.74
F72B,3040,2849,2947,2846,2831,2895.916078,2267.717594,2291.828161,1,3040,1,2849,1,2947,1,2846,0.17,1,0.21,1,0.8,1,0.18,1,0.25,1,2599,2491,2388,2216,1892.17,1875.58,2206.58,2267.17
F73A,6799,6456,7256,6825,6956,7318.5507,6225.693281,6508.56304,1,6799,1,6456,1,7256,1,6825,0.1,1,0.12,1,0.8,1,0.1,1,0.14,1,5585,5439,5845,5700,6926.71,6100.08,7696.9,7654.62
F73B,2785,2712,3592,2508,2437,2539.746031,1834.203177,1869.697467,1,2785,1,2712,1,3592,1,2508,0.16,1.37,0.2,1.39,0.75,1.27,0.16,1.31,0.18,1.36,2725,2758,2814,3320,3634.76,3848.19,3767.6,3858.41
F73C,,,1228,1228,1228,,,,,,,,0,1228,,,,,,,,,0.3,1,0.26,0.93,,,3338,,,,4116.16,3920.37
F74A,,,5326,3382,3449,3367.444485,2644.020659,2695.92139,,,,,1,5326,1,3382,0.17,1.23,0.19,1.61,,,0.18,1,0.21,1,,,2711,2737,,2776.81,3292.67,3295.05
F74B,,,1565,1669,1624,1634.834948,863.3873986,832.9062729,,,,,0,1565,0,1669,0.2,1.7,0.25,1.62,,,0.24,1.52,0.29,1.37,,,1052,1464,,1503.81,1329.3,1301.74
F74Z,2063,1949,3446,2526,2536.5,2961.3,3113.7,3266.1,0,2063,0,1949,,,,,,,,,0.67,1.49,,,,,1436,1542,1882,2101,1781.79,2123.732,2248.79,2373.848
F75A,14353,14007,14556,16791,17796,18489.06268,12047.86011,12175.99784,3,14353,3,14007,3,14556,3,16791,0.1,1.64,0.11,1.49,0.79,1.85,0.1,1.93,0.11,2,8135,9602,10084,11036,11046.43,10605.13,11778.99,11682.79
F75B,6593,6126,6168,8170,8003,8253.335359,3204.799965,3152.376273,1,6593,1,6126,1,6168,2,8170,0.11,1.45,0.12,1.65,0.77,1.94,0.12,1.89,0.12,2,4031,4219,4293,6611,5028.83,5779.16,5633.96,5226.31
F75C,3488,3264,3317,3656,3588,3629.546399,,,1,3488,1,3264,1,3317,1,3656,0.12,1.85,0.15,2,0.73,1.72,0.16,1.66,0.19,1.71,2185,2344,2307,3127,2171.99,2573.27,2114.05,2239.4
F76A,7916,7568,8195,7104,7229,7261.488742,5825.550719,5896.406796,2,7916,2,7568,2,8195,1,7104,0.12,1,0.14,1,0.8,1,0.11,1,0.14,1,5776,5744,6300,4967,6574.75,5480.75,7483.88,7509.79
F76B,2974,2915,3942,2593,2530,2530.047551,1891.640283,1934.517305,1,2974,1,2915,1,3942,1,2593,0.17,1.84,0.19,1.93,0.79,1.58,0.17,1.93,0.19,1.97,1626,1670,2619,1728,1888.15,1833.73,3290.77,3312.4
F76C,,,1303,1303,1303,,,,,,,,0,1303,,,,,,,,,0.19,1.19,0.25,1.68,,,723,,,,912.72,1008.79
G01A,36323,36443,37875,63364,69440,67219.50624,65906.52254,65501.03329,8,36323,7,36443,8,37875,13,63364,0.15,1,0.18,1,0.73,1,0.22,1,0.2,1,20510,22143,22724,32051,24472.19,34237.92,26340.78,26773.58
G01B,20899,20952,21887,36437,39032,37127.21643,36847.0737,37261.16857,4,20899,4,20952,4,21887,7,36437,0.18,1,0.17,1,0.68,1,0.26,1,0.23,1,13304,13669,14093,22502,14690.93,23691.52,15301.91,15252.13
G01C,,,,23479,25584,25249.3112,25594.61688,26510.44503,,,,,,,5,23479,0.19,1,0.19,1,,,,,,,,,,15175,,15978.19,,
G02A,33568,33207,34236,57739,62570,60563.83155,62502.49338,61404.36974,7,33568,7,33207,7,34236,11,57739,0.12,1,0.14,1.15,0.74,1.38,0.18,1.32,0.18,1.35,18977,20234,21100,30126,23066.31,31126.75,24518.85,24209.41
G02B,15831,15518,15748,27184,27890,27926.0403,28479.77636,28454.56393,3,15831,3,15518,3,15748,5,27184,0.14,1.14,0.16,1.14,0.7,1,0.19,1,0.2,1,9243,9296,9292,16678,9950.48,18049.52,10470.99,10294.83
G02C,,,,15910,16856,16364.39953,16987.89866,17318.89602,,,,,,,3,15910,0.17,0.94,0.18,1,,,,,,,,,,9798,,10317.03,,
G03A,36042,37429,37195,55079,58340,58442.47249,62319.34734,63205.70126,7,36042,8,37429,7,37195,11,55079,0.15,1,0.16,1,0.72,1,0.16,1.12,0.17,1,19489,20415,21947,29628,23313.1,31352.09,23631.06,24730.79
G03B,15630,15071,16043,26102,25452,24615.53623,26727.7633,25795.45645,3,15630,3,15071,3,16043,5,26102,0.14,1.08,0.14,1.08,0.7,1.25,0.17,1.18,0.18,1.2,9362,9932,10532,15500,10938.23,16413.15,11739.09,11278.49
G03C,10439,10501,11161,11741,13256,12673.95174,12243.90732,12484.44218,2,10439,2,10501,2,11161,2,11741,0.14,1.13,0.15,1.19,0.72,1.14,0.16,1.14,0.15,1.12,5935,6028,6262,7008,6542.71,7407.82,6829.19,6967.06
G04A,28910,28274,27831,33444,34826,34986.71328,36752.62559,37884.46646,6,28910,6,28274,6,27831,7,33444,0.14,1,0.13,1,0.75,1,0.12,1,0.15,1,14640,16068,15722,18951,17949.09,20747.58,18797.01,18922.04
G04B,15472,15089,14802,16264,16605,16152.3007,17238.39464,17493.81368,3,15472,3,15089,3,14802,3,16264,0.15,1.2,0.15,1.17,0.72,1.06,0.15,1.14,0.17,1.23,10431,10317,11001,10586,10985.34,11063.87,11622.6,10973.24
G04C,9217,9216,9340,8923,9164,9200.115899,9660.70711,9831.443473,2,9217,2,9216,2,9340,2,8923,0.15,1.18,0.16,1.21,0.68,1.18,0.15,1.15,0.17,1.15,5769,5970,5911,6237,6330.23,6567.91,6445.1,6464.99
G05A,20978,24622,23015,21565,22180,25244.00512,24031.38308,26626.50127,4,20978,5,24622,5,23015,4,21565,0.13,1,0.14,1,0.72,1,0.14,1,0.14,1,7105,9109,10899,10336,11911.74,11396.7,13387.14,14237.16
G05B,12472,12294,12137,9239,9704,10744.27868,10543.9385,11014.08873,3,12472,3,12294,2,12137,2,9239,0.13,0.8,0.14,0.8,0.72,1,0.14,1.12,0.14,1,6188,7568,7616,5609,9161.83,6195.94,9105,9569.18
G05C,8174,8129,8459,15402,15544.5,17745.9,19947.3,22148.7,2,8174,2,8129,2,8459,,,,,,,0.7,0.8,0.17,0.8,0.12,0.8,4075,4446,4698,4406,5706.76,,6280.73,6444.5
G06Z,8651,9163,10232,10388,11020,11115.04538,10324.77413,11881.01806,2,8651,2,9163,2,10232,2,10388,0.11,1,0.16,1,0.77,1,0.09,0.87,0.09,1,,1171,,,,,,
G07A,9957,9808,9478,11934,12305,12564.58462,13189.01001,13671.0143,2,9957,2,9808,2,9478,2,11934,0.13,1.39,0.12,1.34,0.72,1.22,0.12,1.29,0.13,1.25,4207,4347,4668,6139,5682.37,6632.5,5485.37,5845.24
G07B,6435,6580,6619,7276,7437,7556.279749,7110.740876,7383.900984,1,6435,1,6580,1,6619,1,7276,0.14,1.18,0.14,1.26,0.71,1.18,0.14,1.17,0.16,1.17,3054,3388,3507,3945,4072.76,4250.9,4226.65,4331.98
G10A,11329,10769,10291,10771,11337,11790.30824,12632.42683,13176.84737,2,11329,2,10769,2,10291,2,10771,0.15,0.8,0.17,0.84,0.72,0.8,0.16,0.8,0.17,0.83,4271,4570,4645,4743,5399.93,5125.59,5695.14,5892.89
G10B,4836,4955,5138,5114,5471,5624.725963,5985.102587,6251.956887,1,4836,1,4955,1,5138,1,5114,0.21,0.8,0.24,0.8,0.72,0.8,0.24,0.8,0.24,0.8,2893,3073,3216,3285,3440.59,3504.52,3657.03,3716.99
G11A,,,,7895,8071,10021.30144,9850.018806,10607.22015,,,,,,,2,7895,0.1,1.73,0.14,1.7,,,,,,,,,,3743,,3688.62,,
G11B,,,,3713,3862,3928.109972,3897.590291,4033.623175,,,,,,,1,3713,0.16,1,0.17,1.08,,,,,,,,,,1901,,1997.1,,
G11Z,3329,3331,4313,5804,5966.5,6873.1,7647.9,8422.7,1,3329,1,3331,1,4313,,,,,,,0.71,1.25,0.16,1.34,0.19,1.37,1443,1500,1954,2822,1644.69,,2210.83,2228.87
G12A,24940,24813,24588,33259,34447,36730.7735,42455.09762,41631.24519,5,24940,5,24813,5,24588,7,33259,0.16,1,0.16,1,0.75,1,0.14,1,0.14,1.05,12886,14035,13136,16920,14460.24,16278.86,17116.5,18443.08
G12B,11405,11208,11070,14128,14780,15480.73132,15632.14079,15804.21449,2,11405,2,11208,2,11070,3,14128,0.14,1.28,0.16,1.31,0.69,1.05,0.15,1.16,0.18,1.25,6406,6667,6179,7450,6787.15,8545.76,7308.43,7400.93
G12C,6951,6624,7047,6327,6469,7058.484123,7352.105306,7235.964741,1,6951,1,6624,1,7047,1,6327,0.18,1.19,0.19,1.32,0.66,1.31,0.17,1.84,0.21,1.63,3160,3287,3763,4128,3527.55,4365.95,4379.43,4286.08
G46A,20644,18539,19479,9271,10262,11854.99779,12332.2354,12990.48156,4,20644,4,18539,4,19479,2,9271,0.14,1.6,0.15,1.65,0.75,1,0.12,1,0.14,1,9673,9601,10041,3409,11708.43,3487.46,13301.37,13542.76
G46B,7349,7497,7577,2216,2431,2582.805427,2676.120728,2802.03887,2,7349,2,7497,2,7577,0,2216,0.35,1.69,0.36,1.87,0.7,1.39,0.15,1.5,0.16,1.45,3119,3240,3404,1031,3653.07,1122.57,3914.92,3928.25
G46C,1727,1797,1864,5744,5812.5,7024.3,8236.1,9447.9,0,1727,0,1797,0,1864,,,,,,,0.65,1.38,0.42,1.57,0.38,1.52,800,854,898,851,952.56,961.748,1044.18,1094.88
G47A,15095,14711,15367,10456,11577,12508.58245,12179.54773,12634.26801,3,15095,3,14711,3,15367,2,10456,0.13,1.75,0.14,1.73,0.76,1,0.11,1,0.11,1,7238,8017,8268,5257,9153.46,5588.07,10767.02,11662.22
G47B,5644,5675,5823,3741,3849,4578.400811,4126.754316,4152.650683,1,5644,1,5675,1,5823,1,3741,0.18,1.16,0.19,1.28,0.73,1,0.16,1.14,0.16,1.18,3024,3157,3423,1493,3817.7,1562.59,3981.33,4042.7
G47C,1324,1411,1453,1799,1817,2006.201761,1938.59742,2068.400329,0,1324,0,1411,0,1453,0,1799,0.3,1.27,0.32,1.5,0.65,1.28,0.29,1.44,0.3,1.31,544,581,612,722,668.65,791.25,720.12,751.28
G48A,12881,12315,12568,6203,6419,7707.227161,6378.348487,6350.597277,3,12881,3,12315,3,12568,1,6203,0.14,1.92,0.13,1.87,0.76,1,0.09,1,0.12,1,5826,5615,5820,1935,7362.98,2061.44,7778.62,7962.89
G48B,5332,5595,5640,1910,2027,2167.49924,2216.987047,2392.161214,1,5332,1,5595,1,5640,0,1910,0.36,1.93,0.41,2,0.68,1.52,0.15,1.6,0.15,1.68,2155,2317,2326,942,2542.27,1010.73,2653.1,2692.8
G48C,1520,1584,1632,4057,4113,4878.9,5644.8,6410.7,0,1520,0,1584,0,1632,,,,,,,0.69,1.4,0.42,1.47,0.37,1.49,741,793,847,794,883.72,897.676,966.54,999.35
G60A,11109,10998,10992,9351,10086,10677.98455,10079.97462,10588.89095,2,11109,2,10998,2,10992,2,9351,0.07,1,0.09,1,0.81,1,0.1,1,0.1,1,6686,7349,7582,6438,8290.64,6764.19,8844.97,9398
G60B,4145,4064,4122,3023,3141,3561.054801,3569.558708,3445.719273,1,4145,1,4064,1,4122,1,3023,0.09,1,0.09,1,0.78,1.85,0.11,2,0.13,1.94,2879,3132,3179,2568,3676.26,2605.23,3787.97,3437.74
G61A,6609,6525,6624,6435,6831,6772.179454,6458.0646,6547.850114,1,6609,1,6525,1,6624,1,6435,0.12,1,0.12,1,0.75,1,0.11,1,0.13,1,4153,4707,5036,4457,5354.7,5288.5,6118.4,6850.52
G61B,2943,2818,2857,2610,2722,2654.715338,2225.825863,2269.325894,1,2943,1,2818,1,2857,1,2610,0.15,1.34,0.14,1.37,0.72,1,0.13,1.14,0.14,1.09,2015,2135,2059,1893,2473.57,2148.21,2729.55,2695.99
G62Z,6636,6878,4741,4523,4776.5,3688.7,3081.3,2473.9,1,4776,1,4672,1,4741,1,4523,0,1,0,1,0.74,1,0,1,,,3809,4055,3932,3932,4922.31,4761.148,4971.51,5181.872
G63Z,2673,2888,3103,3318,3533,3748,3963,4178,1,2673,1,2888,,,,,,,,,0.76,1,,,,,1888,2062,1975,1975,3864.75,3512.9,3899.55,4286.2
G64A,7411,7109,7027,6423,6828,7247.377636,,,2,7411,1,7109,1,7027,1,6423,0.1,1.94,0.09,1.71,0.78,1.5,0.08,1.6,0.09,1.76,3312,2923,3493,3000,3033.65,2805.25,3383.68,3157.83
G64B,2711,2963,2795,2556,2151,2005.86238,,,1,2711,1,2963,1,2795,1,2556,0.04,0.94,0.06,0.85,0.86,1.32,0.06,1.45,0.06,1,661,738,638,557,593.01,530.47,555.95,583.58
G64Z,,,,,,,2294.400792,2116.760213,,,,,,,,,,,,,,,,,,,,,,,,,,
G65A,8488,8480,8486,8590,9066,9294.928301,8617.54981,9166.088178,2,8488,2,8480,2,8486,2,8590,0.11,0.91,0.12,1,0.77,1,0.1,1,0.11,1,5523,5573,5750,6486,6858.04,7093.07,7713.94,7544.42
G65B,4099,4133,4152,4126,4172,4174.447152,3457.461323,3585.01644,1,4099,1,4133,1,4152,1,4126,0.13,0.86,0.16,0.91,0.71,0.93,0.12,0.91,0.15,0.9,2453,2521,2612,2942,3070.19,3028.58,3206.58,3394.42
G66A,,,3291,3525,3466,3549.390445,2810.418609,2877.324686,,,,,1,3291,1,3525,0.14,1.1,0.14,1.29,,,0.15,1.12,0.16,1.14,,,1940,2868,,2836.1,2608,2672.23
G66B,,,1172,1934,1822,1857.054622,1182.133586,1166.327624,,,,,0,1172,0,1934,0.17,1.27,0.18,1.47,,,0.29,1.38,0.29,1.25,,,373,1458,,1371.66,750.98,838.74
G66Z,2450,2371,2232,2730,2644,2709.5,2784.2,2858.9,1,2450,0,2371,,,,,,,,,0.7,1.07,,,,,1473,1537,1157,2163,2089.26,2241.408,2427.26,2613.112
G67A,7421,6872,7054,6207,6248,6179.57681,4814.172438,5119.87156,2,7421,1,6872,1,7054,1,6207,0.1,1,0.11,1.07,0.81,1.1,0.09,1.18,0.11,1.22,4659,4803,5305,4769,6112.55,4919.48,6664.05,6620.9
G67B,2510,2419,2328,2080,1946,1967.487043,1354.72716,1325.210346,1,2510,0,2419,0,2328,0,2080,0.12,1.05,0.14,1.23,0.74,1.1,0.12,1.19,0.13,1.15,1807,1860,1912,2065,2437.8,2081.92,2564.16,2594.09
G70A,7478,7091,7912,5567,5606,8449.960748,8662.378405,8731.905335,2,7478,1,7091,2,7912,1,5567,0.11,1.63,0.12,1.75,0.79,1.36,0.1,1.62,0.1,1.51,4126,4219,5050,3468,5445.4,3934.47,7025.96,6961.59
G70B,2670,2652,3761,2030,1994,3793.364155,3466.957244,3493.633659,1,2670,1,2652,1,3761,0,2030,0.14,1.43,0.15,1.58,0.72,1.25,0.12,1.37,0.14,1.34,1657,1744,2293,1624,2148.51,1679.97,3047.46,3109.26
G70C,,,1123,1123,1123,1960.486912,1556.449996,1541.608643,,,,,0,1123,,,,,,,,,0.21,1.24,0.23,1.2,,,579,,,,879.42,1059.65
H01A,37505,36073,37008,65770,66287,66149.00835,73684.45055,84877.56075,8,37505,7,36073,7,37008,13,65770,0.17,1,0.14,1,0.72,1,0.2,1,0.17,1,27285,29235,29949,37153,31231.03,38304.98,31568.55,32812.69
H01B,18091,17345,19037,29141,30329,28384.43792,36933.93739,37464.73558,4,18091,4,17345,4,19037,6,29141,0.16,1,0.18,1,0.68,1,0.21,1,0.2,1,13504,14260,14677,21508,15534.49,22806.84,15990.18,14821.25
H01C,,,,11599,11022,10839.20565,15271.23667,16123.78846,,,,,,,2,11599,0.18,1,0.19,1,,,,,,,,,,13723,,14035.96,,
H02A,30565,30880,32511,32021,34126,45287.9214,50015.9594,53831.75219,6,30565,6,30880,7,32511,6,32021,0.12,1,0.15,1,0.7,1,0.16,1,0.16,1,19929,22136,21763,18226,23670.56,20548.24,22969.98,26623.25
H02B,19198,16059,13753,14363,14248,22479.82908,26968.46315,27140.49467,4,19198,3,16059,3,13753,3,14363,0.16,1,0.18,1,0.67,1,0.2,1.54,0.14,1,12609,14310,8945,9356,13322.91,9887.48,10061.84,9640.16
H02C,12090,11767,23132,23192,28713,10552.61013,12594.59147,13582.46283,3,12090,2,11767,,,,,,,,,0.69,1,,,,,7814,7548,7681,7681,7113.65,7187.22,7060.45,6933.68
H05A,26342,24899,24818,19113,19450,25907.42103,27397.43715,29051.50873,5,26342,5,24899,5,24818,4,19113,0.17,1,0.17,1,0.72,1,0.19,1,0.18,1,11123,13291,13280,8501,11913.5,9084.56,16747.78,17497.78
H05B,6919,6940,6840,4810,4923,10642.2073,12173.03085,12318.05507,1,6919,1,6940,1,6840,1,4810,0.23,1,0.29,1,0.74,1,0.24,1,0.21,1,3695,3797,3794,3356,3999.84,3340.18,4046.68,3888.58
H05C,,,,,,4040.100377,4492.419151,4518.333546,,,,,,,,,,,,,,,,,,,,,,,,,,
H06A,24075,22736,24923,32490,36416,42286.16598,42237.28465,47824.61244,5,24075,5,22736,5,24923,6,32490,0.13,1,0.16,1,0.71,1,0.16,1,0.17,1,13755,15484,15483,17755,16549.66,20994.85,18996.47,17010.89
H06B,7471,7053,7733,12267,12149,16375.31632,15936.50432,16275.45438,2,7471,1,7053,2,7733,2,12267,0.13,1,0.24,1,0.62,1,0.33,1,0.21,1,9182,9891,10058,10163,10489.89,10499.81,10397.47,9817.54
H06C,,,,6792,6313,7284.873744,8064.015497,7897.504157,,,,,,,1,6792,0.31,1,0.46,1,,,,,,,,,,10214,,10519.95,,
H07A,26743,25923,27218,34653,38151,37556.75343,35551.28178,40187.76105,6,26743,5,25923,5,27218,7,34653,0.18,1,0.13,1,0.75,1,0.16,1,0.18,1,11589,13958,14699,17057,17661.42,18155.47,17525.34,21235.45
H07B,13042,12979,13230,19888,21103,21262.33297,19910.26606,21545.41812,3,13042,3,12979,3,13230,4,19888,0.1,1,0.15,1,0.7,1,0.16,1,0.15,1,6024,6545,6853,11615,8575.56,11272.47,8501.53,9611.03
H07C,,,,13668,14286,15247.42776,13602.10052,14656.10163,,,,,,,3,13668,0.12,1,0.16,1,,,,,,,,,,7772,,8628.86,,
H08A,13317,13050,12762,14549,15521,16601.0993,17136.22059,17367.38056,3,13317,3,13050,3,12762,3,14549,0.17,1,0.17,1,0.68,1,0.19,1,0.19,1,6496,7723,7960,8366,8185.52,8557.72,8723.46,8621.79
H08B,7168,7178,7335,7684,8258,8496.964767,8806.043628,9117.439638,1,7168,1,7178,1,7335,2,7684,0.21,1.16,0.2,1.23,0.66,1.16,0.21,1.16,0.23,1.22,4071,4394,4434,4707,4699.07,4923.74,4891.68,5016.65
H09Z,,,,,,166133.5732,167654.3696,188058.0801,,,,,,,,,,,,,,,,,,,,,,,,,,
H40A,19298,19663,18789,21461,23540,23634.8,24663,25691.2,4,19298,4,19663,4,18789,4,21461,0.09,1,0.14,1,0.73,1,0.12,1,0.12,1,,10315,10081,9902,,15150.65,11440.83,11545.56
H40B,8558,8181,7999,10848,12708,12948.9,14045.6,15142.3,2,8558,2,8181,2,7999,2,10848,0.08,1,0.13,1,0.71,1,0.08,1,0.11,1,3683,2933,3970,5277,4846.9,4764.59,3661.2,4154.72
H40C,,,,6397,7379,,,,,,,,,,1,6397,0.09,1,0.13,1,,,,,,,,,,2386,,3482.27,,
H43A,15636,15094,15704,19638,21025,22016,23548.2,25080.4,3,15636,3,15094,3,15704,4,19638,0.16,1,0.18,1,0.75,1,0.15,1,0.2,1,8434,9185,9858,10739,10689.67,11540.82,11763.26,11628.84
H43B,4776,4754,7057,9463,9836,11625.9,13108.8,14591.7,1,4776,1,4754,1,7057,2,9463,0.19,1,0.23,1,0.68,1,0.25,1,0.23,1,3448,3437,4052,6338,3715.32,6504.71,4663.43,4633.07
H43C,,,2228,4576,5407,,,7249.333333,,,,,0,2228,1,4576,0.28,1,0.31,1,,,0.36,1,0.43,1,,,2275,3595,,3767.63,2577.85,2620.77
H60A,14985,14311,15066,16065,16810,22494.28674,27493.23329,26894.35695,3,14985,3,14311,3,15066,3,16065,0.09,1,0.1,1,0.76,1,0.1,1,0.11,1,8928,9114,10245,10740,10303.98,9749.81,12837.3,12820.12
H60B,4931,4050,6581,5251,5548,8726.229876,10898.24467,11177.68241,1,4931,1,4050,1,6581,1,5251,0.11,1,0.1,1,0.72,1,0.11,1,0.11,1,2770,2885,4302,4051,3030.95,4408.01,5300.99,5644.87
H60C,1938,1745,1277,2208,2388,3022.328236,3130.454871,3033.825171,0,1938,0,1745,0,1277,0,2208,0.15,1,0.19,1,0.69,1,0.19,1,0.26,1,852,935,649,1196,986.02,1161.97,683.37,758.14
H61A,12257,11767,12461,10848,11153,14055.88295,14022.5933,14043.51943,3,12257,2,11767,3,12461,2,10848,0.07,1,0.08,1.37,0.77,1,0.11,1,0.11,1,7982,7851,8071,7642,8769.52,8109.89,10223.55,9921.39
