DRG,DRG_Cost_FFyear2012,DRG_Cost_FFyear2013,DRG_Cost_FFyear2014,DRG_Cost_FFyear2015,DRG_Cost_FFyear2016,DRG_Cost_FFyear2017,DRG_Cost_FFyear2018,DRG_Cost_FFyear2019,_2012_costweight,_2012_average_total,_2013_costweight,_2013_average_total,_2014_costweight,_2014_average_total,_2015_costweight,_2015_average_total,_2012_private,_2012_paed,_2013_private,_2013_paed,_2014_private,_2014_paed,_2015_private,_2015_paed,_2016_private,_2016_paed,ave_charge_1112,ave_charge_1213,ave_charge_1314,ave_charge_1415,ave_charge_1516,ave_charge_1617,ave_charge_1718,ave_charge_1819
C04A,,,,11930,13579,12197.24066,16005.5417,15881.12901,,,,,,,2,11930,0.26,1,0.45,1,,,,,,,,,,5128,,5493.81,,
C04B,,,,6233,6649,6469.837419,7673.064143,7523.334935,,,,,,,1,6233,0.3,1,0.45,1,,,,,,,,,,4449,,4956.17,,
C04Z,6745,7364,8130,9082,10114,10823.8,11669.4,12515,1,6745,2,7364,2,8130,,,,,,,0.67,1,0.43,1,0.33,1,2860,3640,4169,4789,5150.26,,5651.19,5754.89
C05Z,4486,4612,4860,4768,4940,4981.373168,5297.344492,5614.075322,1,4486,1,4612,1,4860,1,4768,0.4,0.9,0.43,1,0.79,0.87,0.46,0.89,0.4,0.9,2166,2406,2423,2617,2632.63,2657.99,2755.24,2690.61
C10Z,3626,3899,3927,4175,4211,4566.265752,4622.633537,5206.300338,1,3626,1,3899,1,3927,1,4175,0.25,1,0.22,1.12,0.79,0.95,0.33,1,0.37,0.94,1176,1293,1418,1681,1672.51,1821.2,1781.16,1831.66
C11Z,3345,3342,3498,3488,3543,3736.031457,3824.501765,4076.55072,1,3345,1,3342,1,3498,1,3488,0.29,1,0.3,1.07,0.73,1,0.37,1,0.29,1.05,1469,1679,1778,1885,1902.95,1945.6,1999.28,2017.46
C12A,,,,,,8586.489671,8920.49708,9513.310277,,,,,,,,,,,,,,,,,,,,,,,,,,
C12B,,,,,,3373.203984,3305.79468,3467.555176,,,,,,,,,,,,,,,,,,,,,,,,,,
C12Z,3425,3609,3808,3662,3856,3946.5,4038,4129.5,1,3425,1,3609,1,3808,1,3662,0.26,1.08,0.29,1.15,0.71,0.85,0.28,1.22,0.19,1.2,1156,1241,1363,1501,1484.6,1547.18,1566.46,1692.26
C13Z,2123,2247,2421,2362,2358,2550.998688,2907.281395,2921.870712,0,2123,0,2247,0,2421,0,2362,0.24,0.8,0.31,0.92,0.81,0.8,0.28,0.86,0.17,0.8,766,857,961,1028,1010.01,1034.9,1039.78,1043.04
C14A,,,,6066,7605,8193.229314,8217.833975,10015.66931,,,,,,,1,6066,0.07,0.8,0.07,0.84,,,,,,,,,,1471,,1519.24,,
C14B,,,,2290,2257,2441.566696,2834.836801,2979.991662,,,,,,,0,2290,0.3,1.11,0.38,1.19,,,,,,,,,,1154,,1229.22,,
C14Z,2673,2848,2897,4178,4931,5259.2,5843.8,6428.4,1,2673,1,2848,1,2897,,,,,,,0.77,1.1,0.35,1.08,0.23,1,961,1075,1106,1313,1263.26,,1280.28,1211.53
C15A,5728,6502,4129,4155,4354,,10339.17565,12886.74833,1,5728,1,6502,,,,,,,,,0.76,1.44,,,,,2732,2865,959,1102,3724.35,2342.98,2365.15,2387.32
C15B,3115,3097,4129,4155,4354,,4037.550338,4273.082895,1,3115,1,3097,,,,,,,,,0.74,1.12,,,,,1459,1550,959,1102,2061.4,1653.32,1729,1804.68
C15Z,,,4129,4155,4354,4412.011277,,,,,,,1,4129,1,4155,0.4,1.42,0.37,1.5,,,0.45,1.47,0.45,1.35,,,1918,2203,,2814.76,3204.54,3568.68
C16Z,2647,2681,2749,2731,2727,2790.373741,2865.456115,3030.447594,1,2647,1,2681,1,2749,1,2731,0.68,1.55,0.86,1.77,0.69,1.32,0.77,1.43,0.74,1.51,2149,2288,2393,2449,2541.06,2507.81,2589.02,2592.7
C60A,11531,11029,10582,11360,10954,11825.17218,11866.43189,12146.59708,2,11531,2,11029,2,10582,2,11360,0.05,1,0.04,1,0.8,1,0.05,1,0.05,1,7215,6283,6639,9323,10866.66,6660.86,6973.21,9791.52
C60B,6701,6695,6461,5752,5527,4961.081483,4480.770941,4947.73387,1,6701,1,6695,1,6461,1,5752,0.03,1.25,0.04,1.22,0.73,1,0.03,1,0.03,1,3579,3434,3862,4946,4681.07,4610.48,4558.92,3605.01
C61A,7334,6453,6487,6086,6044,6282.189556,4976.649454,5352.301621,2,7334,1,6453,1,6487,1,6086,0.15,1.39,0.16,1.35,0.69,1,0.13,1,0.14,1,3764,3108,2766,3444,2057.5,3080.56,3075.35,4903.34
C61B,3187,2814,3025,2853,2879,2806.85249,2518.196611,2677.021793,1,3187,1,2814,1,3025,1,2853,0.14,1.73,0.14,1.8,0.65,1.29,0.16,1.38,0.19,1.52,1416,1686,1617,1278,1819.11,1269.42,1977.57,2308.25
C62A,,,4251,4256,4374,5633.10925,4727.799819,4727.553109,,,,,1,4251,1,4256,0.09,2,0.1,1.8,,,0.12,1,0.16,1,,,4365,3545,,3873.9,5289.39,4515.81
C62B,,,1943,1905,1781,1910.025437,1287.938554,1178.537362,,,,,0,1943,0,1905,0.15,1.67,0.17,1.97,,,0.11,2,0.17,1.95,,,1672,1784,,1772.56,3178.14,2319
C62Z,2492,2445,3097,3081,3077.5,3380.6,3561.3,3742,1,2492,1,2445,,,,,,,,,0.74,1.61,,,,,2207,2174,3019,2665,3133.74,3343.092,3577.54,3811.988
C63A,,,4293,5944,6101,5341.870374,5079.705189,5332.067893,,,,,1,4293,1,5944,0.07,1,0.07,1.07,,,0.07,1.19,0.09,1.21,,,2830,5305,,4870.15,6644.44,2835.34
C63B,,,2516,2696,2550,2011.072594,1902.566608,1747.265813,,,,,1,2516,1,2696,0.13,1.75,0.14,1.85,,,0.16,1.51,0.16,1.58,,,753,1352,,1234.15,1476.27,1793.39
C63C,,,,1452,1295,,,,,,,,,,0,1452,0.37,2,0.2,2,,,,,,,,,,889,,626.71,,
C63Z,2706,2721,3405,3364,3315.333333,3660.766666,3846.933333,4033.1,1,2706,1,2721,,,,,,,,,0.69,1.41,,,,,998,1031,1792,2515,1460.61,2282.088,2523.01,2763.932
D01Z,31995,32584,30334,33248,34086,34091.09695,36358.91522,37558.78677,7,31995,7,32584,6,30334,7,33248,0.78,1.28,0.77,1.28,0.28,1,0.67,1.11,0.87,1.22,23208,27617,26875,30785,30446.13,29777.97,30791.43,30555.87
